Events,最新活動
"Customer Service Team","客戶服務團隊"
"Telephone","電話"
"Street Address 3","街道地址3"
"How to Use","如何使用"
"Product Characteristics","產品特徵"
"Proven Results","驗證的結果"
"Color Shades","顏色陰影"
"MultiShipping","多件運輸"
"Return History","退貨記錄"
"Reviews List","評論清單"
"My Orders View","我的訂單視圖"
"My Requisition View","我的請購單"
"My Quotes View","我的行情視圖"
"My Returns View","我的退貨視圖"
"My Product Reviews View","我的產品評論視圖"
"<span>See More</span>","<span>查看更多</span>"
"Customers Also Love","客戶也愛"
"Are you sure you would like to remove selected items from the requisition list?","您確定要從請購單中刪除所選項目嗎？"
"Use your reward points (%1 available)","使用您的獎勵積分(%1 可用的)"
"Default Billing & Sipping Address","默認帳單和送貨地址"
"Address %1","地址 %1"
"Are you sure you want to delete this card:","您確定要刪除此卡嗎？"
"No Payment Information Required","無需付款信息"
"Orders And Returns","訂單和退貨"
"Please select user or team","請選擇用戶或團隊"
"Please select a user or team first.","請先選擇一個用戶或團隊。"
"Add & Edit Address","添加和編輯地址"
"Remember my account","記住我的帳號"
"Email / Phone number","電子郵件/電話號碼"
"Mobile number","手機號碼"
"DM City","DM城市"
"DM State","DM州"
"DM Detailed Address","DM詳細地址"
"DM Zipcode","DM郵遞區號"
"Favorite Store","最喜歡的商店"
"Referrer Code","推薦人代碼"
"SMS Marketing","短信營銷"
"DM Marketing","DM營銷"
"Please enter more or equal than 5 symbols.","請輸入大於或等於5個符號。"
"Password Strength","密碼強度"
"""DM Detailed Address"" contains non-alphabetic or non-numeric characters.","“ DM詳細地址”包含非字母或非數字字符。"
"Logistics","後勤"
"Review & Payments","審核和付款"
"%1 items in the shopping cart","%1 購物車中的物品"
"Green World Integration Gold Flow","綠世界整合金流"
"Shopping cart subtota","購物車小計"
"Total order","總訂單"
"Transport to:","運輸到："
"Mailing method:","郵寄方式："
"Confirm Order","確認訂單"
"My billing and delivery address are the same","我的帳單和收貨地址相同"
"Check / Money order","支票/匯票"
"Please replace this text with you Privacy Policy. Please add any additional cookies your website uses below (e.g. Google Analytics).","請用您的隱私政策替換此文本。 請在下面添加您的網站使用的所有其他Cookie（例如Google Analytics（分析））。"
"Unable to send mail:","無法發送郵件："
"%1 items in wish list","願望清單有 %1 個項目"
"Invalid Form Key. Please refresh the page.","無效表單金鑰，請刷新頁面。"
"Mouse over to zoom","鼠標懸停以縮放"
"POS Information","POS信息"
"telephone","電話"
"Get Code","取得驗證碼"
"Verify","校驗"
"Verify Registration","驗證註冊"
"Code","碼"
"Code has been verified please move to the next step","代碼已通過驗證，請轉到下一步"
"I'm LANEIGE","《I'm LANEIGE》雜誌"
"Privacy Policy","隱私權政策"
"UGCT&C","UGC 服務條款"
"Terms&Conditions","服務條款"
"All Ingredients / Precautions","成份"
"Best & New","熱門消息"
"Skincare","韓系保養"
"Make-Up","韓系彩妝"
"Homme","男仕保養"
"Event","最新活動"
"After the package is sent, you will receive an email asking for the latest order status via the order link in the email.","包裹寄出後，您將收到電子郵件，可以透過郵件中的訂單連結查詢最新訂單狀態。"
"You have %points_balance points that may be used in %store_name:","提醒您，還有%points_balance剩餘點數未使用完畢，立即登入%store_name會員帳號，即可享受多項促銷優惠喔!："
"Go to shopping cart","結帳"
"Please select a city, city or district","請選擇一個城市,城市或地區"
