"Thank you for using our services","Cảm ơn bạn đã sử dụng dịch vụ của chúng tôi"
"we can't implement secession. please try again later","Chúng ta không thể thực hiện việc ly khai. Xin vui lòng thử lại sau"
"Account Information","Thông tin tài khoản"
"Contact Information","Thông tin liên hệ"
Edit,Chỉnh sửa
"Change Password","Đổi mật khẩu"
Newsletters,Bản tin
"You are subscribed to ""General Subscription"".","Bạn đã được đăng ký tham gia ""Dịch vụ đăng ký chung""."
"You aren't subscribed to our newsletter.","Bạn không đăng ký nhận tin tức của chúng tôi."
"Click here to leave account","Nhấp vào đây để thoát khỏi tài khoản"
"Account Leave Confirmation","Tài khoản để lại xác nhận"
"Are you sure you want to leave your account?","Anh có chắc là anh muốn để lại tài khoản không?"
"Personal Information Protection","Bảo vệ thông tin cá nhân"
"General Setting","Thiết lập chung"
"Enable Module","Kích hoạt mô-đun"
